"AUTHOR NAME","Count"
"Petri, D.","24"
"Belega, D.","15"
"Mandic, D.P.","12"
"Giannakis, G.B.","11"
"Ma, X.","9"
"Routtenberg, T.","9"
"Terzija, V.","9"
"Xia, Y.","9"
"Guerrero, J.M.","8"
"Huang, S.","8"
"Ahmed, H.","7"
"MacIi, D.","7"
"Macii, D.","7"
"Minn, H.","7"
"Sen, D.","7"
"Benbouzid, M.","6"
"Fontanelli, D.","6"
"Fu, L.","6"
"Jeoti, V.","6"
"Jung, P.","6"
"Malinowski, M.","6"
"Wang, F.","6"
"Yona, A.","6"
"Zhao, J.","6"
"Zhao, W.","6"
"Aboutanios, E.","5"
"Bai, Z.","5"
"Bakhshai, A.","5"
"Chen, L.","5"
"Cheng, Z.","5"
"El-Naggar, K.M.","5"
"Fu, X.","5"
"Horvat, M.","5"
"Karimi-Ghartemani, M.","5"
"Kazmierkowski, M.P.","5"
"Li, C.P.","5"
"Li, H.","5"
"Li, Z.","5"
"Mo, R.","5"
"Senjyu, T.","5"
"Sodhi, R.","5"
"Vernotte, F.","5"
"Wira, P.","5"
"Yang, Q.","5"
"Zhao, D.","5"
"Al-Dweik, A.","4"
"Angrisani, L.","4"
"Asif, M.","4"
"Barchi, G.","4"
"Bazerque, J.A.","4"
"Borkowski, J.","4"
"Chew, Y.H.","4"
"Datta, M.","4"
"Dong, X.","4"
"Duque, C.A.","4"
"Edfors, O.","4"
"Funabashi, T.","4"
"Hashmi, K.","4"
"Hazmi, A.","4"
"Hua, J.","4"
"Jain, P.","4"
"Kamel, N.","4"
"Kanna, S.","4"
"Kumar, R.","4"
"Lantz, E.","4"
"Lee, Y.H.","4"
"Lin, T.T.","4"
"Liu, W.","4"
"Mai, R.","4"
"Manzoor, R.S.","4"
"Mathieu, J.L.","4"
"Meng, L.","4"
"Molisch, A.F.","4"
"Morelli, M.","4"
"Sanguinetti, L.","4"
"Shu, F.","4"
"Singh, B.","4"
"Steendam, H.","4"
"Sun, J.","4"
"Tellambura, C.","4"
"Tong, L.","4"
"Trapp, A.","4"
"Tugnait, J.K.","4"
"Ventura, N.","4"
"Vosoughi, A.","4"
"Vrettos, E.","4"
"Wang, D.","4"
"Wang, X.","4"
"Wolfsteiner, P.","4"
"Wu, H.C.","4"
"Wu, Y.","4"
"Xie, X.","4"
"Xiong, S.","4"
"Yang, L.","4"
"You, X.","4"
"Younis, S.","4"
"Yousefzadeh, V.","4"
"Adachi, F.","3"
"Ali, M.S.","3"
"Amin, M.G.","3"
"Amirat, Y.","3"
"Amleh, K.","3"
"Andersson, G.","3"
"Bansal, Y.","3"
"Belmans, R.","3"
"Blaabjerg, F.","3"
"Braithwaite, R.N.","3"
"Brante, G.","3"
"Chakrabarti, S.","3"
"Chang, B.S.","3"
"Chen, H.Y.","3"
"Chen, M.","3"
"Chen, Y.","3"
"Chin, W.L.","3"
"Choi, J.W.","3"
"Choqueuse, V.","3"
"Ciblat, P.","3"
"Cox, D.C.","3"
"D'Apuzzo, M.","3"
"Dobre, O.A.","3"
"Dosiek, L.","3"
"Driesen, J.","3"
"Eldar, Y.C.","3"
"Escobar, G.","3"
"Farag, A.S.","3"
"Furukawa, H.","3"
"Ghosh, A.","3"
"Golestan, S.","3"
"Golovins, E.","3"
"Guillaume, P.","3"
"Guvensen, G.M.","3"
"He, S.","3"
"Heath, R.W.","3"
"Hei, Y.","3"
"Heydt, G.T.","3"
"Hu, W.W.","3"
"Huang, C.","3"
"Hwang, F.H.","3"
"Jia, D.","3"
"Jing, Y.","3"
"Jou, S.J.","3"
"Kam, P.Y.","3"
"Kania, D.","3"
"Khan, M.M.","3"
"Kwak, K.S.","3"
"Ledwich, G.","3"
"Li, G.","3"
"Li, S.","3"
"Li, S.","3"
"Lin, F.","3"
"Ma, K.","3"
"Mai, R.K.","3"
"Maksimović, D.","3"
"Mateos, G.","3"
"McHugh, M.","3"
"Medjahdi, Y.","3"
"Meliopoulos, A.P.","3"
"Milano, F.","3"
"Mili, L.","3"
