"YEAR","Count"
"2023","116"
"2022","104"
"2021","103"
"2020","101"
"2019","101"
"2018","84"
"2017","88"
"2016","64"
"2015","100"
"2014","80"
"2013","73"
"2012","79"
"2011","75"
"2010","79"
"2009","64"
"2008","73"
"2007","64"
"2006","72"
"2005","40"
"2004","45"
"2003","39"
"2002","18"
"2001","30"
"2000","16"
"1999","11"
"1998","9"
"1997","12"
"1996","8"
"1995","14"
"1994","3"
"1993","5"
"1992","7"
"1991","6"
"1990","8"
"1989","11"
"1988","5"
"1987","4"
"1986","8"
"1985","6"
"1984","6"
"1983","2"
"1982","1"
"1981","5"
"1980","1"
"1978","1"
"1976","2"
"1975","1"
"1965","1"
